SurveyQuestion	SimplifiedColNames	PossibleResponses
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [11/9/23: Generative AI & ITCR projects pt2 (Guest: Han Liang)]"	HowUsefulGenAIpt2	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [10/12/23: Generative AI & ITCR projects (Guests: Giacomo Marino & Stephanie Olayia)]"	HowUsefulGenAIpt1	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [8/10/23: Developing forums & web apps to interact with user communities (Dan Knight & Greg Caporaso)]"	HowUsefulForumCommunities	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [6/8/23: AI for software development (ITN team)]"	HowUsefulAISoftwareDev	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5?  
1 = not useful, 
2 = a bit useful, 
3 = somewhat useful, 
4 = useful, 
5 = very useful. [5/11/23: Demo of ITCR tool resource tables (Juli Klemm, Christopher Lewis, Carrie Wright, & Awan Afiaz)]"	HowUsefulITCRToolTable	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [4/13/23: DataTrail (Candace Savonen)]"	HowUsefulDataTrail	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [3/9/23: ITCR tool characteristics/usage & software survey analysis results (Carrie Wright)]"	HowUsefulITCRToolSoftwareSurvey	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [2/9/23: User acceptance testing for scientific software (Helen Parkinson, Bjoern Peters, & Harry Hochheiser)]"	HowUsefulUserAcceptance	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
"How useful did you find the meeting on a scale of 1 to 5? 1 = not useful, 2 = a bit useful, 3 = somewhat useful, 4 = useful, 5 = very useful. [1/12/23: LaTeX and Overleaf for scientific manuscripts intro (Carrie Wright)]"	HowUsefulOverleaf	"This answer was a multiple choice; possible selections include: 1 (not useful), 2 (a bit useful), 3 (somewhat useful), 4 (useful), 5 (very useful), Did not attend; lack of interest, Did not attend; time conflict"
Any general suggestions?	GenSuggestions	This answer was free response
Would you be interested in the following talks/discussions topics? [ethical usage and development of AI for scientific research]	InterestEthicalAI	"This answer was a multiple choice; possible selections include: Yes, definitely; Maybe; Not interested"
Would you be interested in the following talks/discussions topics?	BlankInterest	Seems to be nothing
Would you be interested in the following talks/discussions topics? [policy and regulation related to AI and how this might impact scientific research]	InterestAIPolicy	"This answer was a multiple choice; possible selections include: Yes, definitely; Maybe; Not interested"
Pleae	BlankPlease	Seems to be nothing
Would you be interested in a meeting where a forum discussion is recorded for a podcast episode?	ForumPodcastInterest	"This answer was a multiple choice; possible selections include: Yes, definitely; Maybe; Not interested"
